"","GDP_and_NFCI","only_GDP"
"1",0.111875673540373,0.462959176491591
"2",0.170993233388032,0.655220427184221
"3",0.310054977957678,0.732776851267069
"4",0.324497064046926,0.760445500326253
"5",0.398048926917704,0.662040080252383
"6",0.218982186357015,0.566817893757784
"7",0.0871954142570791,0.297268014480572
"8",0.135605538834491,0.427884060385464
"9",0.105953570692732,0.293261894285997
"10",0.164421370965683,0.44211691789533
"11",0.526139848910954,0.717870411534977
"12",0.60255709505394,0.68476137294539
"13",0.708937924536398,0.774380512024557
"14",0.741030945662601,0.795120307366292
"15",0.647330527276401,0.578685047583087
"16",0.769566879024755,0.78752734571277
"17",0.71084197170371,0.708625752727076
"18",0.758194575052938,0.782771440353585
"19",0.598689777549744,0.55788833461572
"20",0.60267530282284,0.618440235339443
"21",0.839630207715635,0.837347287521569
"22",0.769772460568032,0.781205806033383
"23",0.747111337747189,0.765987274717613
"24",0.752488460293256,0.718323800831885
"25",0.774185713588228,0.681993423492229
"26",0.696069726599688,0.685847255395076
"27",0.872070246295415,0.870184269594088
"28",0.674206918953019,0.602173728655978
"29",0.312272596246037,0.267089633885109
"30",0.217687622497727,0.332988325417344
"31",0.0226613340926694,0.0972147417251258
"32",0.0531409386501078,0.126798692084252
"33",0.0350024979093179,0.0985402264691726
"34",0.115762709076078,0.259131682128892
"35",0.0768590102912656,0.180552174841773
"36",0.182895701427394,0.404425410647205
"37",0.153947174521375,0.282257413875458
"38",0.0735294534890761,0.183984405430589
"39",0.101341732481476,0.260955615428339
"40",0.422787867776061,0.523101864318959
"41",0.769112521037281,0.810683855219255
"42",0.74854679292308,0.789647594552301
"43",0.635930877601217,0.710666314325245
"44",0.305826748179774,0.385108279401445
"45",0.259166404673744,0.384112570936454
"46",0.398682163198619,0.60916357469578
"47",0.338181632834473,0.523710570786841
"48",0.277460117832113,0.47715311921628
"49",0.235230207220626,0.401182880890381
"50",0.2572148847527,0.407226939291607
"51",0.262659255832217,0.43665983860176
"52",0.0791209592053386,0.24431193107928
"53",0.145699694646894,0.31335513736563
"54",0.0045466111425249,0.122944146480582
"55",0.0613248652968772,0.227468691924722
"56",0.145626342917439,0.349694556633055
"57",0.0416156886063796,0.201894410873922
"58",0.0493980755753429,0.179050586575722
"59",0.0262359916698083,0.118871986831181
"60",0.0203875318268559,0.0713239251018072
"61",0.00148029788740032,0.033480558235513
"62",0.00510496890796864,0.0135029679132236
"63",0.000847713430699752,0.0148160137560145
"64",0.0250691657289276,0.0129793164692452
"65",0.500401510864692,0.255234101918924
"66",0.635887964116231,0.463303438309578
"67",0.637495030269415,0.525852914033335
"68",0.611077419249956,0.548677971937696
"69",0.438187265280422,0.365463767994955
"70",0.242652714475938,0.308869858052087
"71",0.171399174029765,0.203610515792965
"72",0.12772543326091,0.182314743314996
"73",0.159503470927161,0.247673519875853
"74",0.453075875108864,0.569925433014684
"75",0.283633411017789,0.360373971104799
"76",0.397890060917757,0.447422929273527
"77",0.161329309481077,0.157235748345335
"78",0.13100037454641,0.189675913832834
"79",0.109007223104073,0.183248762289116
"80",0.184703331184663,0.318916262622315
"81",0.340269064546731,0.579966392006319
"82",0.100931954143519,0.22966779720497
"83",0.251331524691702,0.497248755579674
"84",0.362420643401153,0.472594614413703
"85",0.183071657027565,0.339649134973761
"86",0.555568978795224,0.77976749659781
"87",0.237278352894006,0.430471704485992
"88",0.0895796519865811,0.248296064373286
"89",0.136266672319015,0.2785760054803
