"","GDP_and_NFCI","only_GDP"
"1",0.0124813860812544,0.201247971981522
"2",0.180416604494388,0.463300944134329
"3",0.116084447238266,0.346300717491512
"4",0.659744931713837,0.78588309812877
"5",0.302818638168668,0.455614320827169
"6",0.686305739064794,0.727853888946715
"7",0.136504976283052,0.287375415095991
"8",0.627340740299906,0.66802401247354
"9",0.0996563308026029,0.229850795558625
"10",0.13739971282089,0.319175070538309
"11",0.507311859872505,0.573349683902696
"12",0.281433285718916,0.408291196495024
"13",0.259213622361701,0.405613418825844
"14",0.941898740103239,0.94994309972032
"15",0.233924850637123,0.358305429811779
"16",0.559416010486126,0.565935912423806
"17",0.253048224987531,0.378212087258897
"18",0.868358793897532,0.867923116209448
"19",0.568219050063646,0.603241563238202
"20",0.217184656666466,0.358223135842013
"21",0.560429576884341,0.550428277381832
"22",0.464412333019411,0.501270792615054
"23",0.732408849874589,0.723581381726651
"24",0.852278019082896,0.840193697251743
"25",0.322705472990028,0.309785009812702
"26",0.439409531503868,0.43731841959213
"27",0.74143923276206,0.718101940554589
"28",0.893622503182166,0.886644273033667
"29",0.0802057852341884,0.13580536826325
"30",0.97710642572672,0.977417897131176
"31",0.052991555572367,0.0915136147344808
"32",0.406009795693467,0.389894833308896
"33",0.00854834055273403,0.0984047029231231
"34",0.464378145790717,0.434170002217609
"35",0.000821659262445971,0.0874609371237041
"36",0.202132982197916,0.304488284517724
"37",0.611770470296074,0.61045828275943
"38",0.226196979352874,0.279053424438657
"39",0.195445985465614,0.306625691617351
"40",0.0816567589340044,0.14962070125161
"41",0.373651358434834,0.373858461079571
"42",0.571988682576983,0.568250101524722
"43",0.90863466899183,0.895705438944455
"44",0.464299332614387,0.513139702371375
"45",0.147064411113347,0.268373686770197
"46",0.314209176380821,0.434413758786931
"47",0.453438545266989,0.514159791632939
"48",0.378679544465338,0.45435981391357
"49",0.583639402385665,0.582028617035963
"50",0.118460604113463,0.259773257397603
"51",0.501204533057536,0.505102019783918
"52",0.192907236783268,0.298826113886905
"53",0.774667798525483,0.752603694950266
"54",0.0363380301349451,0.169594144227222
"55",0.0493445196302815,0.164450928841667
"56",0.559553042840967,0.555639037414746
"57",0.0239361633317584,0.132187357192535
"58",0.523366714322216,0.548388620684331
"59",0.297183502216697,0.360722081033225
"60",0.239692897773096,0.225168890017363
"61",0.0275497499486265,0.0629123585743769
"62",0.595210417699896,0.584121559408841
"63",0.101980650543774,0.0712464538686074
"64",0.0142800356677702,0.0276196803385641
"65",0.277383005736714,0.0750388856673288
"66",0.616496564824918,0.453884303385904
"67",0.537255542380344,0.349474798414131
"68",0.742228794101467,0.758981112998503
"69",0.271282625897654,0.247467867232324
"70",0.666870679463576,0.700689211553066
"71",0.367200602335717,0.363482306358027
"72",0.391237660415068,0.388823113839063
"73",0.0230203100974136,0.081613475821104
"74",0.557852958634224,0.759780145031335
"75",0.100129419115427,0.187188553821167
"76",0.847041229921535,0.873270065813863
"77",0.425125700116704,0.334607096225954
"78",0.251188216181267,0.304362279583114
"79",0.106138334342848,0.191883660881623
"80",0.0910909562326209,0.180666446135643
"81",0.450878020893188,0.626228681166889
"82",0.0581043332619951,0.190832192584572
"83",0.447967870444985,0.654071207991734
"84",0.588467842997646,0.636877393276711
"85",0.00598470472011989,0.0805101756999139
"86",0.898735212595806,0.893141795854237
"87",0.721768344483932,0.739440836883748
"88",0.126868882963446,0.306278320642726
"89",0.169223973803623,0.33939057373155
"90",0.317555578711193,0.45000480994993
"91",0.168444306522924,0.325888397983846
"92",0.0979830702088265,0.220318251528406
